	Aca_Eriop_Aceria_parapopu	Aca_Eryth_1_1	Ara_Salti_Metacyrb_1	Ara_Salti_Talavera_1	Ara_Salti_1_7	Ara_Salti_1_8	Ara_Salti_1_9	Ara_Thomi_Misumeno_2	Ara_Thomi_1_1	Ara_Thomi_1_2	Col_Anthi_1_1	Col_Bupre_1_1	Col_Cicin_1_1	Col_Cocci_Adalia_bipuncta	Col_Cocci_Coccinel_septum	Col_Cocci_Cryptola_1	Col_Cocci_Harmonia_axyridis	Col_Cocci_Hippodam_converge	Col_Cocci_1_1	Col_Curcu_1_1	Col_Lampy_1_1	Col_Melyr_1_1	Col_Silph_1_1	Der_Forfi_1_1	Dip_Agrom_Hexomyza_schineri	Dip_Cerat_1_1	Dip_Chiro_1_1	Dip_Empid_1_1	Dip_Musci_1_1	Dip_Ottit_1_1	Dip_Phori_1_1	Dip_Syrph_1_4	Hem_Antho_Anthocor_antevole	Hem_Aphid_Chaitoph_popullel	Hem_Aphid_Pemphigu_populica	Hem_Aphid_Pemphigu_populigl	Hem_Aphid_Pemphigu_populitr	Hem_Aphid_Thecabiu_populico	Hem_Aphid_Thecabiu_populimo	Hem_Cerco_1_1	Hem_Cicad_Gypona_1	Hem_Cicad_1_2	Hem_Cicad_1_3	Hem_Cicad_1_4	Hem_Cicad_1_5	Hem_Cicad_1_6	Hem_Cicad_1_7	Hem_Cicad_1_8	Hem_Cicad_1_11	Hem_Cicad_1_12	Hem_Cicad_1_14	Hem_Cixii_1_1	Hem_Diasp_Lepidosa_ulmi	Hem_Membr_1_1	Hem_Mirid_1_2	Hem_Mirid_1_5	Hem_Penta_Brochyme_1	Hem_Penta_Euschist_1	Hem_Penta_Podisus_1	Hem_Rhopa_Leptocor_trivitta	Hem_Tingi_1_1	Hym_Andre_1_1	Hym_Braco_1_2	Hym_Braco_1_3	Hym_Encyr_1_1	Hym_Formi_Formica_1	Hym_Formi_Tetramor_caespitu	Hym_Tenth_Phylloco_1	Lep_Gelec_Anacamps_niveopul	Lep_Geome_1_1	Lep_Graci_Phyllocn_1	Lep_Lyone_Paraleuc_albella	Lep_Noctu_1_1	Lep_Tortr_Gypsonom_haimbach	Lep_1_1_1	Neu_Chrys_Argia_5	Neu_Raphi_1_1	Odo_Coena_1_1	Ort_Gryll_Oecanthu_1	Ort_Tetti_1_1	Thy_Thrip_1_1	Thy_1_1_2	Hem_Aphid_Pemphigu_betae
bc8_01	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	4	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	1	0	0	22	0	0	0	13	0	0	0	0	0	0	32
bc9_01	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	11	0	0	0	0	1	0	0	10	5	8	2	0	2	5	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	7	0	0	0	0	0	0	35
bc10_01	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
na1_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	19	0	0	0	0	0	0	21
na2_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	22	0	0	0	0	0	0	15
na3_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	6	0	0	0	0	13	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	27	0	0	0	0	1	0	7
na4_01	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	6	0	0	2	6	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0
na5_01	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	2	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	1	5	0	0	0	0	1	0	0	3	2	0	6	3	0	1	0	13	0	0	0	0	0	0	18
na6_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	16	0	0	0	0	0	0	11
na7_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	3	0	0	0	2	0	1	0	7	0	0	0	0	0	0	31
na8_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	2	0	0	0	16	0	0	0	19	0	0	0	0	0	0	0
na9_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	2	0	0	0	0	0	4	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	15
na10_01	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	2	2	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	4	0	1	0	11	0	0	0	0	0	0	15
fr1_02	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	3	0	0	0	0	3	0	0	0	1	0	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0	11	3	0	0	0	30	0	0	0	0	1	0	0	0	0	0	6	13	0	0	0	0	0	0	0	0	1	0	0
fr2_02	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	5	0	0	0	2	0	0	0	4	0	6	0	0	4	0	0	0	0	0	0	0	8	1	0	0	0	43	0	0	0	0	0	0	0	0	1	0	1	37	0	0	0	2	0	0	0	0	0	1	0
fr3_02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0
fr4_02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	15	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
fr5_02	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	5	0	0	10	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	47	0	0	0	0	0	0	1	0	8	0	10	64	0	0	0	2	0	0	0	0	0	0	0
fr6_02	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
fr7_02	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	4	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0
fr8_02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	1	0	0	0	1	0
fr9_02	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	1	1	0	8	0	0	1	0	0	0	0	3	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	91	0	0	0	1	0	0	0	0	0	0	0
fr10_02	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0
fo1_02	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	2	0	0	3	0	0	0	0	0	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	80	0	0	0	2	0	0	0	0	0	0	0
fo2_02	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	6	0	0	1	0	0	0	0	0	1	0	1	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	47	0	0	0	0	0	0	0	0	0	0	3	30	0	0	0	0	0	0	0	0	0	2	0
fo3_02	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	12	0	0	0	0	0	0	0	2	2	1	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	32	0	0	1	0	0	0	0	6	0	0	0	55	0	1	0	1	0	0	0	0	0	3	1
fo4_02	853	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	10	0	0	8	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	18	0	0	0	77	0	0	0	3	0	0	0	0	1	0	1
fo5_02	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	1	0	4	0	3	0	1	3	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	18	0	0	0	0	0	0	1	8	3	0	3	133	0	2	0	0	0	0	0	0	0	0	0
fo6_02	2	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	5	0	0	0	1	0	0	4	0	0	0	0	0	0	0	1	0	3	0	1	5	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0
fo7_02	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5	0	1	0	4	0	0	2	0	0	0	0	0	0	0	4	0	1	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	17	0	0	0	0	0	0	0	9	0	0	0	89	0	0	0	1	0	0	0	0	1	0	0
fo8_02	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	1	0	0	0	0	0	1	0	0	27	0	1	0	0	0	0	0	0	0	0	0
fo9_02	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	4	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	4	0	0	54	0	2	0	1	0	0	0	0	0	0	0
fo10_02	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	11	0	2	0	0	0	0	7	0	0	1	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	1	0	2	0	0	1	3	0	0	42	0	0	0	5	0	0	0	0	0	1	0
bc1_02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	34	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	17	0	0	0	0	1	0	0	6	0	0	0	18	0	0	0	2	0	0	0	0	0	0	650
bc2_02	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	3	0	3	0	0	7	0	1	0	0	0	0	0	6	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	36	0	0	0	0	0	0	396
bc3_02	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	0	0	0	0	0	74
bc4_02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	59
bc5_02	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	5	1	0	8	0	0	0	1	2	0	2	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	28	0	0	0	0	0	0	0	1	0	0	0	6	0	4	0	0	0	0	0	0	0	0	205
bc6_02	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	6	0	0	11	0	0	0	0	0	0	0	7	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	8	5	0	0	1	12	0	1	0	2	0	0	0	0	0	0	169
bc7_02	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	45	0	0	0	0	0	0	0	5	0	0	0	3	0	1	0	0	0	0	0	0	0	0	2
bc8_02	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	3	0	0	0	17	0	0	0	2	0	0	0	0	0	1	244
bc9_02	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	16	1	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	9	0	1	0	1	0	0	0	0	0	0	122
bc10_02	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0
na1_02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	0	0	0	0	1	0	3	0	0	0	0	0	9	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	4	0	0	0	11	0	0	0	4	0	0	0	0	0	0	149
na2_02	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	3	0	0	1	6	0	0	9	3	0	0	0	0	0	0	193
na3_02	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	21	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	2	0	0	0	0	0	0	84
na4_02	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
na5_02	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	5	0	1	0	0	2	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	6	0	0	0	4	0	1	0	67	0	0	0	0	0	1	751
na6_02	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	1	0	0	2	0	0	4	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	19	1	0	0	20	0	1	0	2	0	0	0	0	1	1	81
na7_02	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	16	0	0	0	45	0	0	0	0	0	1	314
na8_02	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	2	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	11	1	0	0	28	0	0	0	3	0	0	0	0	1	0	0
na9_02	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	74
na10_02	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	2	0	0	10	0	5	0	1	0	0	0	0	0	0	59
fr1_03	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	4	3	0	0	0	9	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	0	0	1	2	1	0	0	0	0	0	0	0
fr2_03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	14	2	0	0	0	27	2	0	0	0	1	0	0	0	5	0	0	12	6	0	0	0	0	0	0	1	0	0	0	13	0	0	0	1	0	0	0	0	0	1	0	0
fr3_03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	2	0	6	0	0	0	1	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	8	0	0	1	0	0	0	0	0
fr4_03	2	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	13	2	10	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	3	0	0	1	0	0	0	0	0
fr5_03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	2	0	0	1	0	16	0	0	0	0	0	1	0	0	1	0	0	0	17	0	0	0	0	0	0	0	0	6	0	0	0	4	0	0	0	0	0	0	0	0	0	0	29	2	0	0	1	0	0	0	0	0	1	0	0
fr6_03	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	2	6	0	13	0	0	0	0	0	2	1	0	1	1	5	0	0	0	8	41	0	0	0	1	0	0	5	0	0	0	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
fr7_03	0	3	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	6	1	13	16	0	0	2	30	0	0	0	1	0	1	0	0	23	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	28	0	1	0	0	0	0	0	0	2	0	0
fr8_03	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	5	0	1	0	0	2	0	0	1	0	0	3	0	1	0	5	1	0	0	2	6	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	9	5	0	0	2	1	0	0	0	0	0	0	0
fr9_03	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	1	0	8	0	0	0	0	0	0	1	7	3	10	0	0	27	0	0	0	2	0	0	0	1	1	0	0	0	17	0	0	2	0	3	0	0	0	0	0	4	4	0	0	3	1	0	0	0	0	0	0	0
fr10_03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	16	1	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	18	0	0	5	0	0	0	0	0	0	0	0
fo1_03	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	2	0	0	0	1	9	0	0	0	0	0	1	0	5	3	4	0	0	9	1	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	1	1	0	0	5	5	0	0	2	0	0	0	0	0	1	0	0
fo2_03	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	1	4	0	0	1	0	1	0	0	0	0	0	1	0	21	6	13	0	0	11	3	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0
fo3_03	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	1	0	0	0	0	0	2	0	13	12	8	0	0	19	1	0	0	0	1	0	0	0	2	0	1	1	4	0	0	0	0	0	0	0	1	0	1	7	1	0	0	2	1	0	0	0	0	1	0	0
fo4_03	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	14	0	0	0	0	0	1	0	1	0	1	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	20	1	0	1	1	1	0	0	0	0	0	0
fo5_03	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	2	3	0	0	1	0	1	0	0	0	0	0	2	0	4	7	1	0	0	3	0	0	0	0	0	0	0	2	1	0	0	0	10	0	0	0	0	1	0	1	5	0	0	16	8	0	0	8	1	1	0	1	0	0	0	0
fo6_03	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	6	0	0	3	0	7	0	0	0	0	0	3	0	5	4	4	0	1	5	1	0	0	0	0	1	0	1	0	0	0	1	2	0	0	0	0	1	0	1	0	0	0	1	8	0	0	2	1	0	0	1	2	0	0	0
fo7_03	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	1	0	0	0	1	2	5	0	0	0	0	0	1	0	7	3	5	0	0	12	1	0	0	1	0	0	0	0	2	0	0	1	10	0	0	0	0	0	0	1	0	1	0	1	1	0	1	4	1	0	0	0	0	1	0	0
fo8_03	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	8	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	2	0	0	0	0	3	0	0	1	2	0	0	0	0	1	0	1	0	0	0	3	4	1	0	1	0	0	1	0	0	0	0	0
fo9_03	2	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	2	2	1	2	0	0	1	0	22	0	0	0	0	0	0	0	5	1	11	0	1	3	3	0	0	2	0	0	0	0	0	0	0	0	25	0	0	0	0	2	0	0	0	0	0	1	4	0	3	1	1	0	1	0	0	0	0	0
fo10_03	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	3	0	2	0	3	0	0	8	0	0	0	2	1	0	0	0	0	0	0	0	7	0	0	0	2	2	0	0	0	0	0	1	8	0	0	6	0	0	0	0	0	1	0	0
bc1_03	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	3	2	0	1	0	0	0	2	2	0	0	0	0	0	1	0	19	9	7	0	0	5	1	0	0	3	0	0	0	1	0	0	0	1	3	0	0	0	0	1	0	0	4	0	0	3	2	0	0	2	2	0	0	0	0	0	0	60
