Ord_Famil_Genus_Species,Order,Family,Genus,Species
Hym_Formi_Camponot_1,Hymenoptera,Formicidae,Camponotus,1
Hym_Formi_Formica_1,Hymenoptera,Formicidae,Formica,1
Hym_Formi_Formica_2,Hymenoptera,Formicidae,Formica,2
Hym_Formi_Formica_propinqu,Hymenoptera,Formicidae,Formica,propinqua
Hym_Formi_Tetramor_caespitu,Hymenoptera,Formicidae,Tetramorium,caespitum
Hym_Halic_1_1,Hymenoptera,Halictidae,,1
Hym_Ichne_1_2,Hymenoptera,Ichnemonidae,,2
Hym_Ichne_1_3,Hymenoptera,Ichneumonidae,,3
Hym_Ichne_1_4,Hymenoptera,Ichneumonidae,,4
Hym_Ichne_1_5,Hymenoptera,Ichneumonidae,,5
Hym_Mymar_Stephano_1,Hymenoptera,Mymaridae,Stephanodes,1
Hym_Mymar_1_1,Hymenoptera,Mymaridae,,1
Hym_Ptero_1_1,Hymenoptera,Pteromalidae,,1
Hym_Sphec_1_1,Hymenoptera,Sphecidae,,1
Hym_Tenth_Nematus_1,Hymenoptera,Tenthredinidae,Nematus,1
Hym_Tenth_Phylloco_1,Hymenoptera,Tenthredinidae,Phyllocolpa,1
Hym_Vespi_1_1,Hymenoptera,Vespidae,,1
Lep_Gelec_Anacamps_niveopul,Lepidoptera,Gelechiidae,Anacampsis,niveopulvella
Lep_Gelec_1_1,Lepidoptera,Gelechiidae,,1
Lep_Geome_Alsophil_pometari,Lepidoptera,Geometridae,Alsophila,pometaria
Lep_Geome_1_1,Lepidoptera,Geometridae,,1
Lep_Graci_Phyllocn_1,Lepidoptera,Gracillaridae,Phyllocnistis,1
Lep_Lyone_Paraleuc_albella,Lepidoptera,Lyonetiidae,Paraleucoptera,albella
Lep_Noctu_1_1,Lepidoptera,Noctuidae,,1
Lep_Tortr_Gypsonom_haimbach,Lepidoptera,Tortricidae,Gypsonoma,haimbachiana
Lep_Tortr_1_4,Lepidoptera,Tortricidae,,4
Lep_Tortr_1_5,Lepidoptera,Tortricidae,,5
Lep_Tortr_1_6,Lepidoptera,Tortricidae,,6
Lep_1_1_1,Lepidoptera,,,1
Mic_1_1_1,Microcoryphia,,,1
Neu_Chrys_Argia_5,Neuroptera,Chrysopidae,Argia,5
Neu_Raphi_1_1,Neuroptera,Raphidiidae,,1
Odo_Coena_1_1,Odonata,Coenagrionidae,,1
Opi_1_1_1,Opiliones,,,1
Ort_Acrid_Melanopl_sanguini,Orthoptera,Acrididae,Melanoplus,sanguinipes
Ort_Gryll_Oecanthu_1,Orthoptera,Gryllidae,Oecanthus,1
Ort_Tetti_1_1,Orthoptera,Tettigoniidae,,1
Thy_Aeolo_1_1,Thysanoptera,Aeolothripidae,,1
Thy_Thrip_1_1,Thysanoptera,Thripidae,,1
Thy_1_1_2,Thysanoptera,,,2
