"","obs.corr","obs.corr.p","obs.rank","runs","obs.rand.p","random.corrs"
"28",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00365223312168101
"29",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0231043022341575
"30",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00139772523676823
"31",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00400949765224633
"32",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00444443244866561
"33",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00338995331745073
"34",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00425432068560591
"35",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00389257293540782
"36",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0132655530202603
"37",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00612235428753025
"38",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00503102044038627
"39",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.0025889408405764
"40",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0079446476318371
"41",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.000126245889399743
"42",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.00641771776918975
"43",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00293699509374487
"44",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00805762696950383
"45",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00277539277035284
"46",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.0167638140647970
"47",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.00879739648490787
"48",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0068654292552073
"49",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,0.0104217322958668
"50",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.0190183652251746
"51",-0.0486070522140303,8.72542041708024e-12,1,999,0.001,-0.000245862435928491
