"","obs.corr","obs.corr.p","obs.rank","runs","obs.rand.p","random.corrs"
"47",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0478620607379266
"48",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.049790680519091
"49",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0542253711078648
"50",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0528846381531607
"51",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0515493023529876
"52",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.052428494887514
"53",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0507034563692687
"54",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0517235052522982
"55",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.052988126825388
"56",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0526970972166764
"57",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0515153001520137
"58",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0435318282092812
"59",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0481429820374311
"60",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0456732175705284
"61",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0612911130091433
"62",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0532679219540014
"63",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0585530766081636
"64",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0639141613008783
"65",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0565580515164066
"66",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0453050400228748
"67",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0595307846112526
"68",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0436332687197208
"69",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0493194605685474
"70",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0609348481048166
"71",-0.0486070522140303,8.72542041708024e-12,692,999,0.692,-0.0591929737057587
