"ntaxa" "pd.obs" "pd.rand.mean" "pd.rand.sd" "pd.obs.rank" "pd.obs.z" "pd.obs.p" "runs"
"S41" 9 35 40.0530530530531 3.837922287274 85 -1.31661161295742 0.085 999
"S43" 5 22 28.5075075075075 4.13447474978466 74 -1.57396232927688 0.074 999
"S45" 4 21 24.5115115115115 4.3126343744994 196.5 -0.81423816780645 0.1965 999
"S47" 4 19 24.3453453453453 4.48889253248418 76 -1.19079378859338 0.076 999
"S49" 16 58 54.1611611611612 3.94971563029206 829.5 0.971927905238833 0.8295 999
"S51" 2 16 13.0650650650651 5.6563911013431 556.5 0.518870580614208 0.5565 999
"S53" 4 30 24.5635635635636 4.30147871690861 933.5 1.26385291994273 0.9335 999
"S54" 4 22 24.7077077077077 4.20928578553408 265 -0.643270104637039 0.265 999
"S56" 3 21 19.8328328328328 4.62426759440372 598 0.252400438196888 0.598 999
"S57" 1 9 NA NA NA NA NA 999
"S65" 1 9 NA NA NA NA NA 999
"S66" 1 9 NA NA NA NA NA 999
"S71a" 1 9 NA NA NA NA NA 999
"S75" 8 33 37.8228228228228 3.80323135993513 104 -1.26808557418528 0.104 999
"S85" 4 21 24.3893893893894 4.18048806821698 218.5 -0.810764038571936 0.2185 999
