"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"bc1_01",21,5.26732673267327,4.93806677965094,1.48114641325996,682,0.22230074628317,0.682,999
"bc2_01",9,7.72413793103448,6.17410513962238,1.65218263182400,852,0.938172791285714,0.852,999
"bc3_01",9,6.46875,6.14064064064064,1.68206772117749,645.5,0.195063109070112,0.6455,999
"bc4_01",11,7.24,5.76768768768769,1.64212048215543,861.5,0.896592137003108,0.8615,999
"bc5_01",17,4.97222222222222,5.18104215326438,1.35253966469044,505.5,-0.154390984969706,0.5055,999
"bc6_01",18,5.5,5.10285285285285,1.75575310524053,719,0.226197604869245,0.719,999
"bc7_01",17,6.02898550724638,5.09599454526991,1.21937800104790,828.5,0.765136783814933,0.8285,999
"bc8_01",12,4.93478260869565,5.58271314793054,1.64843465680189,376.5,-0.393058066670309,0.3765,999
"bc9_01",17,3.61224489795918,5.15421543992973,1.38394010105018,82.5,-1.11418878663928,0.0825,999
"bc10_01",8,5,6.46096096096096,1.54088846550126,150,-0.94812894876574,0.15,999
"na1_01",8,6.91228070175439,6.42017456052544,2.12531566623173,688.5,0.231544964848197,0.6885,999
"na2_01",12,7.11864406779661,5.60506268980845,1.69437547094968,871,0.893297503380295,0.871,999
"na3_01",13,7.73913043478261,5.44570657614136,1.57739784972503,931.5,1.45392860719383,0.9315,999
"na4_01",12,5.82857142857143,5.52117832117832,1.26122390863334,663,0.243726038880913,0.663,999
"na5_01",19,5.33333333333333,5.00767434100767,1.22704363309377,700,0.265401313810308,0.7,999
"na6_01",8,7.76470588235294,6.52852852852853,1.76836050127197,800,0.699052796607501,0.8,999
"na7_01",12,5.76923076923077,5.56849156849157,2.22041318597711,651.5,0.0904062370044268,0.6515,999
"na8_01",9,6.72941176470588,6.1196255078608,1.78851492396303,724,0.340945579304366,0.724,999
"na9_01",13,3.73684210526316,5.47879458405774,1.56162276043937,65.5,-1.11547585173802,0.0655,999
"na10_01",16,4.3030303030303,5.18385051718385,1.29894828307582,237.5,-0.678102604722513,0.2375,999
"fr1_02",16,4.36144578313253,5.15431093744347,1.37772438016620,277,-0.57548894809809,0.277,999
"fr2_02",16,4.77685950413223,5.16438752802389,1.60100429432786,448.5,-0.242053082096419,0.4485,999
"fr3_02",9,4.82352941176471,6.12742153918624,1.9430335017401,247.5,-0.671060033835663,0.2475,999
"fr4_02",6,3.33333333333333,7.16675008341675,2.69961406557168,29.5,-1.41998695256896,0.0295,999
"fr5_02",13,4.65822784810127,5.46575689613664,1.73226385000150,323.5,-0.466169774330093,0.3235,999
"fr6_02",13,4.9,5.44594594594595,1.10628604742106,347.5,-0.493494378979683,0.3475,999
"fr7_02",9,8.81081081081081,6.33230527825122,3.036338052497,856,0.816281155031908,0.856,999
"fr8_02",7,14.7272727272727,6.72254072254072,3.39769588778373,970,2.35592950902777,0.97,999
"fr9_02",16,3.90082644628099,5.35341953523772,2.56452358156845,200,-0.566418300614076,0.2,999
"fr10_02",5,9.56923076923077,7.76533456533457,3.81346786114246,713,0.473033016031708,0.713,999
