	Clavulina_sp	Geopora_cooperi	Geopora_sp1	Geopora_sp2	Geopora_sp3	Geopora_sp4	Geopora_sp5	Hebeloma_sp	Lactarius_barrowsi	Lactarius_deliciosus	Rhizopogon_rubescens	Rhizopogon_sp1	Rhizopogon_sp2	Rhizopogon_sp3	Tomentella_sp	Tricholoma_sp	Tricholoma_terreum
D49_1994	0	0	31	0	72	0	0	0	0	0	0	0	0	0	0	0	0
D50_1994	0	0	21	0	45	0	0	0	0	0	0	0	0	0	0	0	0
D51_1994	0	0	0	0	10	0	0	10	0	0	72	0	0	0	0	0	0
D65_1994	0	47	0	0	35	0	0	0	0	0	12	0	0	0	0	0	0
D73_1994	0	0	0	0	11	0	0	18	0	0	0	0	0	19	11	10	0
D73B_1994	0	0	12	0	10	0	21	54	0	0	0	0	0	0	0	0	0
R1_2004	0	0	0	0	50	0	12	0	0	0	10	0	0	0	0	0	0
R2_2004	0	0	50	0	20	20	0	0	0	0	0	0	0	0	0	10	0
R3_2004	0	0	0	0	42	0	61	0	0	0	0	0	0	0	0	0	0
R4_2004	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0
R5_2004	0	0	0	0	10	0	10	0	0	0	12	0	0	0	0	0	0
R6_2004	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0
R7_2004	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
R9_2004	0	0	0	0	31	0	10	0	0	0	80	0	0	0	0	0	0
R10_2004	0	0	21	20	54	0	0	0	0	0	0	0	0	0	0	0	0
R11_2004	0	0	0	0	61	0	0	0	0	0	22	0	0	0	0	0	0
R12_2004	0	0	0	0	0	0	23	0	0	0	22	0	0	0	0	0	0
R13_2004	0	0	0	0	0	0	22	45	0	0	0	0	0	0	0	0	0
R14_2004	0	0	0	0	21	0	59	0	0	10	23	0	0	0	0	0	0
SK2_2004	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0
SK3_2004	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0
SK4_2004	0	0	0	0	0	0	0	33	32	0	0	0	0	0	0	0	0
SK5_2004	0	0	0	0	44	0	11	10	0	0	12	0	0	0	0	0	0
SK6_2004	0	0	0	0	15	0	0	0	0	0	22	11	0	0	0	0	0
SK7_2004	0	0	0	0	0	0	21	0	0	0	24	0	0	0	0	0	0
SK8_2004	0	0	0	0	16	10	15	0	0	0	27	0	0	0	0	0	11
SK10_2004	0	0	0	0	12	0	0	0	0	0	24	0	0	0	0	13	0
SK11_2004	0	0	0	24	10	0	0	0	0	0	44	0	0	0	0	0	0
SK12_2004	0	23	0	0	25	0	0	0	0	0	0	0	0	0	0	36	0
SK13_2004	0	0	0	0	14	0	44	0	0	0	12	0	0	0	0	0	11
SK15_2004	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0
SK16_2004	0	0	0	10	35	0	0	9	0	0	10	0	0	0	0	0	0
SK17_2004	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0
SC51_2004	0	0	0	0	14	0	0	0	0	0	33	0	0	0	0	0	0
SC3_2004	0	0	0	0	33	0	32	0	0	0	0	0	0	0	0	0	0
D10_2004	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0
D13_2004	0	0	0	0	55	0	0	0	0	0	9	0	0	0	0	0	0
D19_2004	0	0	11	0	64	0	0	0	0	0	20	0	0	0	0	0	0
D20_2004	0	0	0	0	10	0	0	55	0	0	0	0	0	0	0	0	0
D31_2004	0	0	22	0	38	0	0	0	0	0	21	0	0	0	0	0	0
D34_2004	0	0	0	0	12	0	55	10	0	0	0	0	0	0	0	1	0
D45_2004	0	0	0	0	18	0	25	0	0	0	23	0	0	0	0	0	0
D46_2004	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0
D47_2004	0	0	13	0	64	0	24	0	0	0	0	0	0	0	0	0	0
D48_2004	0	19	0	0	56	0	0	21	0	0	30	0	0	0	0	0	0
D51_2004	0	0	21	0	14	0	54	0	0	0	30	0	0	0	0	0	0
